caballo,Shelli,8,Gallus gallus domesticus
caballo,Arne,3,Equus ferus caballus
gallina,Krystle,1,Bos taurus
vaca,Floyd,9,Canis lupus familiaris
vaca,Kittie,4,Canis lupus familiaris
caballo,Winford,1,Equus ferus caballus
perro,Margeret,9,Bos taurus
gallina,Darby,4,Gallus gallus domesticus
perro,Coraima,14,Canis lupus familiaris
gallina,Mabell,12,Equus ferus caballus
gallina,Madonna,10,Gallus gallus domesticus
perro,Jerald,8,Bos taurus
caballo,Hill,10,Canis lupus familiaris
caballo,Yoshio,2,Equus ferus caballus
perro,Lilyana,1,Gallus gallus domesticus
caballo,Isidro,9,Canis lupus familiaris
gallina,Aurelia,13,Gallus gallus domesticus
caballo,Jaclyn,8,Equus ferus caballus
caballo,Bernhard,9,Equus ferus caballus
gallina,Dotty,3,Equus ferus caballus
vaca,Lindy,14,Canis lupus familiaris
gallina,Zadie,14,Bos taurus
caballo,Len,1,Equus ferus caballus
gallina,Illa,6,Canis lupus familiaris
vaca,Delton,4,Canis lupus familiaris
caballo,Gonzalo,3,Canis lupus familiaris
vaca,Elizbeth,13,Equus ferus caballus
caballo,Brittnie,5,Equus ferus caballus
caballo,Damarcus,10,Gallus gallus domesticus
gallina,Ransom,13,Gallus gallus domesticus
perro,Azariah,6,Canis lupus familiaris
vaca,Sharita,4,Equus ferus caballus
gallina,Savion,11,Equus ferus caballus
gallina,Martin,5,Equus ferus caballus
gallina,Payton,13,Canis lupus familiaris
caballo,Kermit,8,Equus ferus caballus
perro,Marinda,3,Bos taurus
perro,Paul,10,Equus ferus caballus
caballo,Debi,6,Canis lupus familiaris
perro,Jesica,7,Equus ferus caballus
caballo,Mariana,5,Gallus gallus domesticus
caballo,Kazuko,12,Bos taurus
caballo,Lawrance,13,Gallus gallus domesticus
perro,Leafy,3,Bos taurus
perro,Brian,2,Canis lupus familiaris
perro,Winnifred,6,Bos taurus
caballo,Cooper,6,Gallus gallus domesticus
perro,Malakai,11,Gallus gallus domesticus
vaca,Treyton,4,Gallus gallus domesticus
gallina,Kenji,1,Equus ferus caballus
vaca,Noe,10,Canis lupus familiaris
caballo,Ocie,6,Equus ferus caballus
perro,Dawn,5,Gallus gallus domesticus
vaca,Alisa,6,Gallus gallus domesticus
perro,Albion,6,Gallus gallus domesticus
gallina,Marry,2,Bos taurus
gallina,Geraldo,6,Bos taurus
gallina,Barbra,5,Gallus gallus domesticus
caballo,Meaghan,3,Canis lupus familiaris
gallina,Pearly,7,Gallus gallus domesticus
gallina,Arnulfo,3,Gallus gallus domesticus
gallina,Elyssa,2,Bos taurus
vaca,Arvid,14,Bos taurus
vaca,Adelard,4,Canis lupus familiaris
vaca,Daisha,13,Gallus gallus domesticus
perro,Krystin,1,Bos taurus
vaca,Tangela,1,Gallus gallus domesticus
perro,Lawson,12,Canis lupus familiaris
